Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2022-06-15,133.4663543701172,109.24222564697266,245.98255920410156,135.34866434133303,110.89332844630779,249.44133097278552,130.24377786500034,107.15719279182463,240.76510609798785,132.3428841585756,108.0285229467679,242.61173342919113,91533000,39698000,33111700
2022-06-16,128.17420959472656,105.52897644042969,239.348388671875,130.47042786825955,108.13153172918454,241.74216268049113,127.16899474112004,104.6377371893725,237.44314057965514,130.16492507881696,106.71082612689229,240.33520565588944,108123900,51684000,33169200
2022-06-17,129.6525115966797,106.6336898803711,241.96685791015625,131.15047735541629,108.18228586085846,244.75146133793058,127.92788481418725,104.54616658355276,238.4299353753546,128.1841247030481,105.528970887289,239.08455825337097,134520300,51376000,43084800
2022-06-21,133.89996337890625,111.01325988769531,247.91714477539062,135.07271151353063,111.9542643123408,248.90396178868318,131.3869488476208,108.08326752622625,243.7842046658451,131.48548988632155,108.41119802749382,244.51699356218077,81000500,47416000,29928300
2022-06-22,133.3875274658203,110.95702362060547,247.32115173339844,135.76257275465719,112.8071716946308,251.26844975050005,131.96840403366457,109.85727808662209,244.62447895315725,132.8356344352228,110.03045374439513,246.1096020126648,73409200,30774000,25939900
2022-06-23,136.2652130126953,111.70792388916016,252.91964721679688,136.58056547968613,112.20604591984649,253.4179532405101,133.66349125043254,109.97471708378085,247.8096847275751,134.83623972192547,111.69747579437303,249.70516784913139,72433800,28362000,25861400
2022-06-24,139.6060333251953,117.41364288330078,261.55682373046875,139.85240850117333,117.5171519120344,261.8303970887869,137.7434375963034,112.4150421499824,255.71404222828616,137.87154246227976,112.457343264938,255.8019733273249,89116800,41164000,33923200
2022-06-27,139.6060333251953,115.28234100341797,258.8112487792969,141.4095014178601,118.01526949121953,262.1429689613932,138.9260354334884,114.6314459624472,257.2381799786484,140.63094744074303,117.71023220229814,262.05503788318345,70207900,36420000,24615100
2022-06-28,135.44720458984375,111.47454071044922,250.59429931640625,141.34049395514106,116.75131444596565,260.7849441795725,135.328949330103,111.31579952883644,250.4379674235614,140.06920480029078,115.2514813531098,257.922189071422,67083400,35792000,27295500
2022-06-29,137.2112579345703,111.17000579833984,254.2875213623047,138.63038134531047,112.62206327148687,255.9582716594945,134.6883785543866,110.34494794788081,249.890773174673,135.46693252662052,111.02121914854789,251.67877983050323,66242400,24716000,20069800
2022-06-30,134.73765563964844,108.44452667236328,250.9362335205078,136.36372576433453,110.36037012107478,253.57428565271542,131.8304316095035,106.24205918177555,247.09642660004045,135.25996980273172,109.47659494140807,251.15118613733407,98964500,43170000,31730900
2022-07-01,136.91558837890625,108.22010040283203,253.6230926513672,137.02399404422195,108.73015875104069,253.8087348784013,133.69301230892643,106.22264648916799,248.76715893036126,134.06749230384347,107.41942405927786,250.50632484705463,71051600,35476000,22837700
2022-07-05,139.50747680664062,112.72407531738281,256.8180847167969,139.5567548491927,112.83753130607606,256.9451062280484,134.94460374967946,105.22840975036895,248.89419361754275,135.77243576693132,106.59089908908788,250.2816054554039,73353800,39342000,22941000
2022-07-06,140.84774780273438,114.02684020996094,260.1009826660156,142.03034554759492,115.0395005469071,261.8401338868576,139.03443025811183,110.94557098037903,256.378417244903,139.30051963790794,112.76288648601033,257.6974432972696,74064300,37432000,23824400
2022-07-07,144.22802734375,118.2177963256836,262.24066162109375,144.42512446788226,118.62236385314765,262.88551929978155,141.20253310502923,114.2870956480075,258.9382222138368,141.21238269809453,114.53242085295552,259.0359333440472,66253700,40936000,20859900
2022-07-08,144.90802001953125,118.78558349609375,261.5177001953125,145.41063501342293,119.11550333341472,261.9476053921388,142.89760515660754,116.34524732585783,257.2479884069412,143.15382993164704,116.69209216472974,258.71356617323374,64547800,38238000,19658800
2022-07-11,142.7694854736328,115.12609100341797,258.4399719238281,144.51382597051048,117.4365476052986,260.41360575508605,141.69529329047643,114.78173665895066,256.16342461352093,143.55788906254995,117.4365476052986,259.55379543105175,63141600,31196000,19455200
2022-07-12,143.7451171875,113.47797393798828,247.84872436523438,146.29756011597522,116.41741959811824,259.83715393450507,142.94686411267188,113.14904875296558,246.25612518586624,143.64656111311933,115.66202835855137,259.7785332128201,77588800,29960000,35868500
2022-07-13,143.38050842285156,110.82365417480469,246.92054748535156,144.3265807145126,113.65262767517154,247.73150231895372,140.0593606954875,110.67237700140517,242.41633781014775,140.91675656689353,111.16949673952026,244.44860746990463,71185600,43722000,29497400
2022-07-14,146.31727600097656,109.84235382080078,248.24932861328125,146.79031208077845,110.56440377859388,249.28500115876392,141.17296164080028,107.85734476528513,240.29612738205486,141.9909289473083,109.68610316058955,244.81988208668008,78140700,37004000,25102800
2022-07-15,147.9926300048828,111.24563598632812,250.82875061035156,148.67262785570932,112.60215711200841,254.39498387786978,146.05119253188846,110.3723164753788,248.9235024960798,147.6082853549652,111.4675820742736,249.85169876625037,76259900,46770000,29774100
2022-07-18,144.93760681152344,108.5112075805664,248.41542053222656,149.37236031781808,113.13908327050366,254.85418832606308,144.57296129769512,107.85435196917416,247.48722430252386,148.5543928665957,112.10403093176883,253.789205440495,81420900,43164600,20975000
2022-07-19,148.81060791015625,113.26846313476562,253.57427978515625,149.0372688640094,113.4774629947795,253.7599220325405,144.77991359630315,109.03868562268973,247.85852017580478,145.77526390456921,110.32254841399676,251.66901664295315,82982400,36530900,25012600
2022-07-20,150.82102966308594,113.35804748535156,256.25140380859375,151.49117799927419,114.85091025049731,258.79174483824187,148.18974443892895,111.94480589002251,252.96852357379373,148.92887000877803,112.63151759868653,253.93579546132244,64823400,35600400,22788300
2022-07-21,153.09751892089844,113.79594421386719,258.76239013671875,153.3143302483906,114.00495167460863,258.81126061612775,149.73695838231532,110.58131743938425,251.13161811146432,152.25983742490192,113.73623213542243,253.82829056890776,65086600,32676200,22404700
2022-07-22,151.85580444335938,107.38658905029297,254.38523864746094,154.01405345612082,111.80545736836784,259.2411881701941,151.1856711624816,105.9932490465555,253.1248630644284,153.13695840464973,110.47183703443812,259.15325707025653,66675400,48901200,21881300
2022-07-25,150.73233032226562,106.99845123291016,252.89031982421875,152.7920231935369,109.3472225583573,255.49906141021802,150.07204665223094,105.79420953019157,250.9166858010749,151.7769586670234,107.89417039822348,255.01053548017936,53623900,34690900,21056000
2022-07-26,149.4019012451172,104.5202865600586,246.11935424804688,150.87028755705626,106.68991390610014,253.91623871980474,148.61349773507445,103.57480992289085,243.8428365645717,150.05232023117222,106.09277036719988,253.89667859982464,55138700,47991000,39348000
2022-07-27,154.5166473388672,112.52203369140625,262.5729064941406,155.04882613514658,113.3679952824466,263.85284204135934,149.95378934695273,107.49606723707197,252.9098791339182,150.36769783431046,108.74011946731692,255.1668665380829,78620700,59858500,45994000
2022-07-28,155.06854248046875,113.67652893066406,270.0669250488281,155.3543310693815,113.79595309687595,271.46410213964964,152.17116799178928,110.92965921139611,261.72289329505287,154.70389699283152,111.8353329683321,263.5597556772068,81378700,32816600,33459300
2022-07-29,160.15371704101562,115.76652526855469,274.2974853515625,161.257488076031,116.15466896108313,275.52858003793335,157.1873652790473,112.52203489140882,270.28181716754574,158.90214195015406,112.54194397943671,271.3272696451067,101786900,37223400,32152800
2022-08-01,159.168212890625,114.31346893310547,271.63018798828125,161.2180561543135,116.16461921046162,274.8251367286238,158.55720726769144,113.79593896680589,269.5099724039233,158.6754625398599,114.75137773642173,271.4445457557554,67829400,26034300,21539600
2022-08-02,157.68995666503906,114.58218383789062,268.5133972167969,160.05516729364513,115.79638002904798,271.5129535596286,157.31547663627524,113.17889687110984,266.12938831170163,157.77866315380257,113.4575633556852,269.66631124641907,59907000,20236000,22754200
2022-08-03,163.72122192382812,117.51815795898438,275.9878234863281,164.17454378554137,118.05558946224379,276.99418564890556,158.4192238049961,114.93053070088145,270.26228442614376,158.5079152513036,115.1594320713057,270.4088660501321,82507500,28499000,23518900
2022-08-04,163.40586853027344,117.62763214111328,277.14080810546875,164.76586430720064,118.21482116526452,277.28735994956196,162.04587275334626,116.33381474881479,273.74068605345633,163.60296566260632,116.92101136605847,275.33325584895266,55474100,21602900,18098700
2022-08-05,163.1788787841797,116.91105651855469,276.4177551269531,163.67231353700947,117.54801066886964,277.14076398755924,160.85972942250632,115.44804984442452,272.28481487787076,161.0669786444056,115.67695880145602,272.74403046110217,56697000,19159500,16774600
2022-08-08,162.7052001953125,116.74186706542969,273.88714599609375,165.60659947941937,119.57830469839134,279.3586416053195,162.04399931317954,116.32385973549923,272.9100942736339,164.18550472324978,117.82667699099878,277.53152983782763,60276900,19138300,18739200
2022-08-09,162.75453186035156,116.07504272460938,275.8217468261719,163.6427235312398,116.76176196281949,276.5838461358811,161.10646144310655,115.15942213572387,271.23937090713224,161.86635524789833,116.58261814385563,273.22281494179157,63135500,19086500,23405200
2022-08-10,167.01780700683594,119.13043212890625,282.5242614746094,167.11648492615134,120.34462825526873,283.15933908991417,164.70852083002953,117.84657697820947,280.3552055975567,165.47827786948693,118.21481155899389,281.55698987310285,70170500,30930400,24687800
2022-08-11,166.2776641845703,118.27452850341797,280.4333801269531,168.74483818248612,120.91192071702521,284.52722930944947,165.9816002931334,117.99586202223843,279.9351040144919,167.8270416248752,120.70292085614055,284.175504994771,57149200,24293700,20065900
2022-08-12,169.84027099609375,121.10102081298828,285.21124267578125,169.9093440404782,121.10102081298828,285.21124267578125,167.1757109224635,118.89158283337814,280.35529321713346,167.59020942251294,119.6877792993413,281.85996159203745,68039400,19096300,22619700
2022-08-15,170.91595458984375,121.49913024902344,286.7354431152344,171.11332550526615,121.71808467700703,287.4291416657951,169.10011807446065,120.03612347394491,283.45253298777743,169.26788410549148,120.55364590937552,284.32212355423144,54091700,19494800,18085700
2022-08-16,170.758056640625,121.12092590332031,285.99285888671875,171.4291358420734,121.84745576956125,287.29235463676724,169.40605002056787,120.06597200873036,283.7554314604386,170.5113392247935,120.94178207281517,285.28938031228677,56377100,19041200,18102900
2022-08-17,172.2581024169922,118.98116302490234,285.2389221191406,173.83708484024334,120.71288167155528,287.22654620657715,170.30410470369227,118.81196614417375,283.4275334962736,170.50147562429416,119.54845056051758,283.6918866931279,79542000,22847000,18253400
2022-08-18,171.86334228515625,119.59820556640625,284.1128845214844,172.60349451732048,120.2451142565541,285.8165534798573,170.8468677576589,118.15510799023149,283.0456113375506,171.4686004513763,118.86172875873096,284.13245627621524,62290100,17987700,17186200
2022-08-19,169.26788330078125,116.65229034423828,280.1767883300781,171.4587350859564,118.58306186399878,283.21208370807085,169.06063405258988,116.20443457194587,279.5991078037717,170.758051022337,118.49348615368488,282.8693837672335,70346300,21809500,20570000
2022-08-22,165.36972045898438,113.69642639160156,271.9521789550781,167.629644866865,115.07981195046679,276.5638529031188,164.94535876639668,113.30828267900442,271.4332434991886,167.4618788678898,114.65185765284781,276.191780334642,69026800,21456600,25061100
2022-08-23,165.0341796875,113.31822967529297,270.6695251464844,166.49475736672866,114.46275924088157,273.0389927321079,164.4617935794401,112.89027540618044,269.65122599832847,164.88615528818852,112.94004053241602,270.6695251464844,54147100,15870400,17527400
2022-08-24,165.33026123046875,113.14904022216797,270.0330810546875,165.90264739975865,114.23385011599804,271.4430244316459,164.06706935977206,112.33294226755979,269.3672528796194,165.12302704926418,112.9599418544723,269.6610085134701,53841500,17734600,18137000
2022-08-25,167.7974395751953,116.09495544433594,273.0292663574219,167.9059958352742,116.1646220653855,273.19570102924337,166.13950584864693,113.56704040567818,268.78963442814637,166.56385255540565,113.69641910388675,271.5409758486095,51218200,16956800,16583400
2022-08-26,161.47158813476562,109.81497955322266,262.49383544921875,168.80403659370677,114.57224186477183,274.4881266505964,161.41237837214825,109.66569935363755,262.3861459525227,168.33034343433388,114.17414361532893,273.2544185652506,78961000,37245700,27549300
2022-08-29,159.2610321044922,108.89935302734375,259.6935119628906,160.76106316026429,110.42207172581055,261.8181979316552,157.72151782921043,108.2823079873906,258.342313758695,159.03404123840198,109.46664053448025,260.3005650968234,73314000,21191200,20338500
2022-08-30,156.8234405517578,108.42164611816406,257.480712890625,160.4255083111715,109.97422092496217,261.47553300826064,155.64906340226676,107.28707105272045,255.2189346824592,160.00116164152158,109.64578930257257,261.10349030382076,77906200,27513300,22767100
2022-08-31,155.15565490722656,107.70507049560547,256.01202392578125,158.47153769020628,110.3225537370346,261.53427789568053,155.0767035244846,107.61549478379631,255.87493197122282,158.20507865575672,110.1235084111581,259.85021020629233,87991100,28627000,24791800
2022-09-01,155.88592529296875,109.21782684326172,254.96435546875,156.3398768664933,109.9244475702192,255.44414743540307,152.6391159459931,106.84915422642854,250.07852722864436,154.58325022090398,107.76477480842202,253.46629417161157,74229900,28360900,23263400
2022-09-02,153.76414489746094,107.33683013916016,250.71495056152344,158.2544044411162,110.21307842824478,259.21375535466535,152.93517807481416,106.74964110254567,249.15814412143888,157.65241340262483,110.06379063471975,256.2372344294896,76957800,24160700,22855400
2022-09-06,152.5009307861328,106.30177307128906,247.96359252929688,155.02731410056845,107.51596926896929,252.44797525069836,151.6719640845397,105.27667524334035,246.68094020616354,154.41545987678768,106.78944701500801,250.8520254014025,73714800,25068300,21328200
2022-09-07,153.91220092773438,108.92921447753906,252.7025604248047,154.61286996329966,109.45669902186589,253.4271039157159,151.59305117128892,106.39135238503752,247.93422281842027,152.78717010211398,106.55058712829103,249.38332474051592,87449600,23167000,24126700
2022-09-08,152.43186950683594,107.86430358886719,253.12359619140625,154.3069155323693,109.078499800194,254.99373009299137,150.6752279441013,106.65011497063273,249.4714610666313,152.60949878868428,107.5259250214311,252.1346994321278,84923800,24238300,20319900
2022-09-09,155.3036651611328,110.12350463867188,258.93951416015625,155.74776853082003,110.46188319968864,259.6934598977276,152.71807161072002,108.5012556752909,254.85657767183898,153.42861893209738,108.55102080160147,255.0621856545684,68028800,23197700,22084700
2022-09-12,161.28408813476562,110.33250427246094,261.0838623046875,162.10319169268726,111.08889015087576,261.867180794142,157.20832701154205,109.40692911388913,259.62497457136203,157.49451256385936,110.46188297027061,260.2320277253486,104956000,22966800,18747700
2022-09-13,151.82000732421875,103.8236312866211,246.72991943359375,158.4320302699307,107.78469725919211,254.9643561809074,151.35617743298022,103.59472231619533,246.33826014353517,157.80043436290458,107.28707632557276,253.43692230036456,122656600,38172900,33353300
